IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY,,,
1,1563,CIVIT II,2091,SERRA,16,ES,"821019,1576","3811,34",7,6080,"17696855,98",,,
2,1588,NOVA ZELANDIA,2091,SERRA,16,ES,"2020849,206","10682,13",308,4068,"6424627,76",,,
3,1563,CIVIT II,2091,SERRA,16,ES,"3533839,727","703956,78",676,5603,"13497250,34",,,
4,1588,NOVA ZELANDIA,2091,SERRA,16,ES,"18481426,39","281533,99",675,5329,"11619930,87",,,
5,1565,HELIO FERRAZ,2091,SERRA,16,ES,"1387,992",0,63,37,"9078,8",,,
6,1,CENTRO,1889,BAIXO GUANDU,16,ES,"80219,01793","2315,25",72,129,"187484,5",,,
7,1225,WALDIR FURTADO AMORIM,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"368,8104",0,954,27,"3039,6",,,
10,470,NSA SRA DA PENHA,2107,VILA VELHA,16,ES,"24370,1078",0,13,152,"216953,11",,,
11,1724,ITARARE,2111,VITORIA,16,ES,"32112,65485","1185,18",5,973,"230656,33",,,
12,1714,DA PENHA,2111,VITORIA,16,ES,"2000,1396","165,96",271,46,"6582,14",,,
13,1525,JARDIM DA SERRA,2091,SERRA,16,ES,"48110,8664","1255,02",7,513,"156910,44",,,
15,450,CASTELO BRANCO,1912,CARIACICA,16,ES,"56561,89118",0,37,290,"162628,36",,,
16,1410,ITAPEBUSSU,1947,GUARAPARI,16,ES,"21791,065",78,41,187,"66535,37",,,
17,1639,COBILANDIA,2107,VILA VELHA,16,ES,"89897,19754","13429,35",6,1084,"786502,63",,,
18,1630,SOTECO,2107,VILA VELHA,16,ES,"299,712",0,268,10,"2860,8",,,
20,1518,NOVA CARAPINA II,2091,SERRA,16,ES,"6659,7146","416,49",8,354,"55926,58",,,
21,71,BAIXA GRANDE,6990,CAMPOS DOS GOYTACAZES,7,RJ,"27652,3908",0,8,243,"202941,55",,,
22,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"13695,0056","3757,2",174,131,"125661,13",,,
24,18827,DISTRITO DE COUTINHO ,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"1301,718",0,1681,13,"4887,53",,,
27,1,CENTRO,1917,CONCEICAO DO CASTELO,16,ES,"64519,48935","249,9",65,149,"56776,64",,,
30,1341,HONORIO FRAGA,1915,COLATINA,16,ES,"3242,5",0,1127,53,"18855,03",,,
31,1164,CENTRO INDUSTRIAL,1882,ARACRUZ,16,ES,"2595,876",0,111,41,"19840,82",,,
32,1156,PRAIA DE MAR AZUL,1882,ARACRUZ,16,ES,"7057,30852","1015,81",62,128,"25245,96",,,
33,18627,SEDE,1945,GUACUI,16,ES,"39,648",0,1871,2,"445,08",,,
34,399,FATIMA,1882,ARACRUZ,16,ES,"101627,6308","33728,91",13,282,"873173,56",,,
37,18787,CORREGO DO OURO ,1915,COLATINA,16,ES,"12559,0704","3657,17",5,234,"92167,7",,,
38,18626,BANANEIRAS,2100,VENDA NOVA IMIGRANTE,16,ES,"1884,9",0,35,35,"23950,18",,,
39,1443,VILA BETANIA,2101,VIANA,16,ES,"730,376",0,937,15,"4580,96",,,
40,1,CENTRO,2111,VITORIA,16,ES,"2886,8722",0,54,138,"28442,88",,,
41,1268,AREINHA,2101,VIANA,16,ES,"4497,4114",0,433,133,"42752,23",,,MONETARY: Valor total das compras realizadas pelo cliente
42,1357,VILA LENIRA,1915,COLATINA,16,ES,"4357,50099",0,882,29,"8099,73",,,
44,1,CENTRO,2059,SANTA TERESA,16,ES,"4309,0787","1198,66",20,170,"48026,67",,,
46,1690,JARDIM CAMBURI,2111,VITORIA,16,ES,"93,58","53,16",1413,11,"954,9",,,
48,1525,JARDIM DA SERRA,2091,SERRA,16,ES,"5782,57075",0,1280,68,"14591,5",,,
49,1620,PONTA DA FRUTA,2107,VILA VELHA,16,ES,"5755,3","609,34",20,138,"35239,66",,,
53,1245,SAO JOAO BATISTA,1912,CARIACICA,16,ES,"525,2096",0,36,4281,"2968,62",,,
54,73,ITAPOA,2107,VILA VELHA,16,ES,"3722,5886",0,926,31,"28396,92",,,
56,1145,JACUPEMBA,1882,ARACRUZ,16,ES,"15310,1246",0,5,367,"126440,43",,,
57,208,SAO JOSE,1945,GUACUI,16,ES,"51053,38423",0,12,320,"134864,58",,,
58,1,CENTRO,1933,ECOPORANGA,16,ES,"42275,24759","536,84",15,251,"161820,15",,,
60,1252,VILA CAPIXABA,1912,CARIACICA,16,ES,"17859,3988",0,69,127,"171145,17",,,
61,1640,RIVIERA DA BARRA,2107,VILA VELHA,16,ES,"179,5",0,1224,3,"1062,18",,,
62,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"15190,38651",523,30,157,"24035,43",,,
63,45,NOVO HORIZONTE,1991,LINHARES,16,ES,"2071,424","1137,6",1632,52,"16960,02",,,
64,1640,RIVIERA DA BARRA,2107,VILA VELHA,16,ES,"244,95",0,1848,4,"2082,96",,,
65,1344,SAO SILVANO,1915,COLATINA,16,ES,"126051,6792","644,4",5,420,"215889,37",,,
67,280,VILA NOVA,1912,CARIACICA,16,ES,"40722,0161","882,25",5,308,"89012,77",,,
68,1,CENTRO,6990,CAMPOS DOS GOYTACAZES,7,RJ,"18536,3298","1509,42",21,319,"206759,13",,,
69,1675,BARRAMARES,2107,VILA VELHA,16,ES,"1122,5",0,169,15,"1768,34",,,
71,16629,VILA ARAGUAIA,1995,MARECHAL FLORIANO,16,ES,"21392,7508","300,88",19,477,"225266,17",,,
73,308,NOVA BRASILIA,1912,CARIACICA,16,ES,"7923,5164","628,15",14,424,"69018,44",,,
76,1694,JARDIM DA PENHA,2111,VITORIA,16,ES,"1555,0452",0,141,17,"13140,65",,,
77,1,CENTRO,1901,BREJETUBA,16,ES,"232172,9359",0,1,706,"437730,26",,,
78,1,CENTRO,7122,PINHEIRAL,7,RJ,772,0,566,8,"9166,78",,,
79,18835,PQE VICENTE G DIAS ,6990,CAMPOS DOS GOYTACAZES,7,RJ,"1423,0306","947,1",112,59,"17522,26",,,
81,280,VILA NOVA,2059,SANTA TERESA,16,ES,"7515,07427",0,278,116,"45641,16",,,
82,1694,JARDIM DA PENHA,2111,VITORIA,16,ES,"428,588",0,1455,24,"2338,32",,,
83,1578,VILA NOVA DE COLARES,2091,SERRA,16,ES,"3115,9578",0,15,120,"24345,36",,,
84,1252,VILA CAPIXABA,1912,CARIACICA,16,ES,"26297,58933","1655,23",5,337,"88157,02",,,
85,5561,JARDIM ITAPUA,2107,VILA VELHA,16,ES,"11575,464","21,8",30,122,"38408,24",,,
87,1,CENTRO,1905,BARRA SAO FRANCISCO,16,ES,"160813,292","3569,7",9,471,"253499,22",,,
88,1624,PRAIA DA COSTA,2107,VILA VELHA,16,ES,"5083,1668",0,1063,57,"12344,3",,,
89,1,CENTRO,10077,SANTA MARIA DE JETIBA,16,ES,"22384,367","231,78",37,263,"221135,69",,,
90,1675,BARRAMARES,2107,VILA VELHA,16,ES,"1206,1346",0,419,37,"5077,43",,,
91,1578,VILA NOVA DE COLARES,2091,SERRA,16,ES,"1005,6652","14,4",1440,42,"4287,08",,,
92,1258,PORTO DE SANTANA,1912,CARIACICA,16,ES,"94936,4924","197,53",6,406,"168808,29",,,
94,1630,SOTECO,2107,VILA VELHA,16,ES,"34449,4241","130,2",5,135,"40267,06",,,
95,660,IPIRANGA,1947,GUARAPARI,16,ES,"3858,5407",0,1412,43,"13658,44",,,
99,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"399,4882",0,1199,21,"4295,64",,,
102,1634,ATAIDE,2107,VILA VELHA,16,ES,"13590,3544","771,06",8,367,"81310,32",,,
103,182,SANTO ANTONIO,2111,VITORIA,16,ES,"14873,3754","108,91",5,404,"105149,33",,,
104,1644,VILA BATISTA,2107,VILA VELHA,16,ES,"141978,4956","7893,72",7,512,"252958,57",,,
105,1629,GUARANHUNS,2107,VILA VELHA,16,ES,"11477,2612",0,685,57,"16126,04",,,
106,18623,BACAXA,7191,SAQUAREMA,7,RJ,"4057,914",0,22,100,"51527,69",,,
107,1,CENTRO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"1407,0084",0,7,59,"11941,12",,,
109,1510,FEU ROSA,2091,SERRA,16,ES,"11709,27575","1081,92",35,250,"59171,5",,,
