IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY
1,1563,CIVIT II,2091,SERRA,16,ES,821019,"R$ 3.811,34",7,6080,"R$ 17.696.855,98"
2,1588,NOVA ZELANDIA,2091,SERRA,16,ES,2020849,"R$ 10.682,13",308,4068,"R$ 6.424.627,76"
3,1563,CIVIT II,2091,SERRA,16,ES,3533840,"R$ 703.956,78",676,5603,"R$ 13.497.250,34"
4,1588,NOVA ZELANDIA,2091,SERRA,16,ES,18481426,"R$ 281.533,99",675,5329,"R$ 11.619.930,87"
5,1565,HELIO FERRAZ,2091,SERRA,16,ES,1388,"R$ 0,00",63,37,"R$ 9.078,80"
6,1,CENTRO,1889,BAIXO GUANDU,16,ES,80219,"R$ 2.315,25",72,129,"R$ 187.484,50"
7,1225,WALDIR FURTADO AMORIM,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,369,"R$ 0,00",954,27,"R$ 3.039,60"
10,470,NSA SRA DA PENHA,2107,VILA VELHA,16,ES,24370,"R$ 0,00",13,152,"R$ 216.953,11"
11,1724,ITARARE,2111,VITORIA,16,ES,32113,"R$ 1.185,18",5,973,"R$ 230.656,33"
12,1714,DA PENHA,2111,VITORIA,16,ES,2000,"R$ 165,96",271,46,"R$ 6.582,14"
13,1525,JARDIM DA SERRA,2091,SERRA,16,ES,48111,"R$ 1.255,02",7,513,"R$ 156.910,44"
15,450,CASTELO BRANCO,1912,CARIACICA,16,ES,56562,"R$ 0,00",37,290,"R$ 162.628,36"
16,1410,ITAPEBUSSU,1947,GUARAPARI,16,ES,21791,"R$ 78,00",41,187,"R$ 66.535,37"
17,1639,COBILANDIA,2107,VILA VELHA,16,ES,89897,"R$ 13.429,35",6,1084,"R$ 786.502,63"
18,1630,SOTECO,2107,VILA VELHA,16,ES,300,"R$ 0,00",268,10,"R$ 2.860,80"
20,1518,NOVA CARAPINA II,2091,SERRA,16,ES,6660,"R$ 416,49",8,354,"R$ 55.926,58"
21,71,BAIXA GRANDE,6990,CAMPOS DOS GOYTACAZES,7,RJ,27652,"R$ 0,00",8,243,"R$ 202.941,55"
22,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,13695,"R$ 3.757,20",174,131,"R$ 125.661,13"
24,18827,DISTRITO DE COUTINHO ,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,1302,"R$ 0,00",1681,13,"R$ 4.887,53"
27,1,CENTRO,1917,CONCEICAO DO CASTELO,16,ES,64519,"R$ 249,90",65,149,"R$ 56.776,64"
30,1341,HONORIO FRAGA,1915,COLATINA,16,ES,3243,"R$ 0,00",1127,53,"R$ 18.855,03"
31,1164,CENTRO INDUSTRIAL,1882,ARACRUZ,16,ES,2596,"R$ 0,00",111,41,"R$ 19.840,82"
32,1156,PRAIA DE MAR AZUL,1882,ARACRUZ,16,ES,7057,"R$ 1.015,81",62,128,"R$ 25.245,96"
33,18627,SEDE,1945,GUACUI,16,ES,40,"R$ 0,00",1871,2,"R$ 445,08"
34,399,FATIMA,1882,ARACRUZ,16,ES,101628,"R$ 33.728,91",13,282,"R$ 873.173,56"
37,18787,CORREGO DO OURO ,1915,COLATINA,16,ES,12559,"R$ 3.657,17",5,234,"R$ 92.167,70"
38,18626,BANANEIRAS,2100,VENDA NOVA IMIGRANTE,16,ES,1885,"R$ 0,00",35,35,"R$ 23.950,18"
39,1443,VILA BETANIA,2101,VIANA,16,ES,730,"R$ 0,00",937,15,"R$ 4.580,96"
40,1,CENTRO,2111,VITORIA,16,ES,2887,"R$ 0,00",54,138,"R$ 28.442,88"
41,1268,AREINHA,2101,VIANA,16,ES,4497,"R$ 0,00",433,133,"R$ 42.752,23"
42,1357,VILA LENIRA,1915,COLATINA,16,ES,4358,"R$ 0,00",882,29,"R$ 8.099,73"
44,1,CENTRO,2059,SANTA TERESA,16,ES,4309,"R$ 1.198,66",20,170,"R$ 48.026,67"
46,1690,JARDIM CAMBURI,2111,VITORIA,16,ES,94,"R$ 53,16",1413,11,"R$ 954,90"
48,1525,JARDIM DA SERRA,2091,SERRA,16,ES,5783,"R$ 0,00",1280,68,"R$ 14.591,50"
49,1620,PONTA DA FRUTA,2107,VILA VELHA,16,ES,5755,"R$ 609,34",20,138,"R$ 35.239,66"
53,1245,SAO JOAO BATISTA,1912,CARIACICA,16,ES,525,"R$ 0,00",36,4281,"R$ 2.968,62"
54,73,ITAPOA,2107,VILA VELHA,16,ES,3723,"R$ 0,00",926,31,"R$ 28.396,92"
56,1145,JACUPEMBA,1882,ARACRUZ,16,ES,15310,"R$ 0,00",5,367,"R$ 126.440,43"
57,208,SAO JOSE,1945,GUACUI,16,ES,51053,"R$ 0,00",12,320,"R$ 134.864,58"
58,1,CENTRO,1933,ECOPORANGA,16,ES,42275,"R$ 536,84",15,251,"R$ 161.820,15"
60,1252,VILA CAPIXABA,1912,CARIACICA,16,ES,17859,"R$ 0,00",69,127,"R$ 171.145,17"
61,1640,RIVIERA DA BARRA,2107,VILA VELHA,16,ES,180,"R$ 0,00",1224,3,"R$ 1.062,18"
62,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,15190,"R$ 523,00",30,157,"R$ 24.035,43"
63,45,NOVO HORIZONTE,1991,LINHARES,16,ES,2071,"R$ 1.137,60",1632,52,"R$ 16.960,02"
